id1	id2	count1	count2
GBC93757	GBC93753	5	2
GBC187593	GBC93753	11	2
GBC189063	GBC95211	12	1
GBC95211	GBC273299	1	1
GBC189643	GBC95551	501	1
GBC95551	GBC273638	1	1
GBC96158	GBC95911	30	1
GBC96158	GBC96099	30	1
GBC96158	GBC96172	30	1
GBC97504	GBC97672	36	1
GBC97931	GBC368346	1	1
GBC192954	GBC98380	15	1
GBC810302	GBC99340	2565	9
GBC99340	GBC1109564	9	8
GBC370416	GBC100053	5	1
GBC474130	GBC101005	31	1
GBC101421	GBC101419	40	2
GBC101419	GBC101423	2	1
GBC101421	GBC101423	40	1
GBC102369	GBC102366	3	1
GBC102411	GBC102440	9	2
GBC102411	GBC196885	9	9
GBC102411	GBC1112609	9	1
GBC102440	GBC102438	2	1
GBC133438	GBC103701	852	3
GBC103887	GBC103903	1	1
GBC104183	GBC104086	5	1
GBC118109	GBC104086	370	1
GBC104086	GBC127412	1	1
GBC110817	GBC104183	18	5
GBC118869	GBC104183	48642	5
