id	top_neigh_count	top2_neigh_count
GBC392815	5	3
GBC392853	3	1
GBC392855	198	1
GBC394703	1	1
GBC394712	120	1
GBC399691	22	18
GBC399747	22	17
GBC399776	22	5
GBC399777	1881	2
GBC399789	22	4
GBC400400	2	1
GBC401950	22	3
GBC406496	71	5
GBC406749	2	1
GBC407301	34	21
GBC407341	34	1
GBC409136	1	1
GBC409629	2	1
GBC413559	1	1
GBC415961	10	2
GBC416003	123	2
GBC416378	154	1
GBC416379	2	1
GBC416905	154	1
GBC416924	2	2
GBC416931	154	1
GBC417048	1	1
GBC417679	182	13
GBC417685	72	13
GBC417825	182	72
GBC417831	182	78
GBC417835	182	5
GBC417903	78	71
GBC417992	182	135
GBC418067	72	4
GBC418076	111	4
GBC418109	5	4
GBC418184	15	10
GBC418189	15	3
GBC418295	123	78
GBC418384	123	10
GBC418619	2	1
GBC418774	111	74
GBC418935	123	74
GBC418976	9	6
GBC419371	111	78
GBC419373	78	4
GBC420456	78	52
GBC420469	111	52
GBC420496	52	6
GBC420544	123	52
GBC420835	78	52
GBC421481	120	1
GBC421499	1	1
GBC421518	120	1
GBC425306	49	6
GBC425401	64	24
GBC425403	111	64
GBC425417	64	4
GBC425428	64	5
GBC425444	64	10
GBC425468	123	64
GBC425893	2	1
GBC427863	8	5
GBC429386	1038	1
GBC429394	5	2
GBC429501	5	2
GBC430479	2	1
GBC432285	364	14
GBC433152	387	364
GBC433266	364	291
GBC433302	448	364
GBC433411	364	53
GBC433417	364	28
GBC433482	364	35
GBC433568	52	33
GBC433637	52	17
GBC433643	52	16
GBC433741	364	88
GBC436092	2	1
GBC437906	4229	1
GBC437909	46	2
GBC440056	4	3
GBC440358	46	4
GBC440474	33	17
GBC440487	67	33
GBC440725	67	17
GBC440728	4229	1
GBC440766	4229	1
GBC440770	67	52
GBC441021	22	12
GBC441035	17	12
GBC441165	36	13
GBC441192	46	36
GBC442653	14	14
GBC442660	14	13
GBC442664	2101	1
GBC442705	2101	1
GBC442713	2101	1
GBC442722	34	23
GBC442767	34	23
GBC444311	8	4
GBC444921	18	4
GBC444930	18	6
GBC447021	3	1
GBC448420	2101	2
GBC448421	23	6
GBC450531	1	1
GBC451006	6	3
GBC455894	33	1
GBC456160	4	3
GBC456166	441	1
GBC459010	1	1
GBC461748	33	1
GBC462290	1	1
GBC463912	3	1
GBC464510	2	1
GBC465323	40	2
GBC465468	40	36
GBC466884	23	7
GBC469303	3	2
GBC469605	195	79
GBC469703	79	61
GBC474016	3	1
GBC474130	2	1
GBC474558	22	4
GBC479106	14	1
GBC479309	21	14
GBC479313	1	1
GBC479362	980	1
GBC481249	311	48
GBC482528	1	1
GBC485120	1881	1
GBC485121	1	1
GBC489394	41	36
GBC489643	41	36
GBC489644	1801	1
GBC489653	1801	1
GBC489687	1801	1
GBC489708	1801	1
GBC489737	1801	1
GBC489753	2	1
GBC489760	2	2
GBC489812	5	2
GBC489994	1801	1
GBC490020	2	2
GBC490503	1	1
GBC491636	5	1
GBC492819	1	1
GBC493998	3	1
GBC494920	194	1
GBC495681	1	1
GBC497699	1881	1
GBC497710	3	3
GBC497834	56	1
GBC497950	18	11
GBC498031	11	1
GBC498060	11	6
GBC498097	18	17
GBC498120	18	5
GBC498294	1881	1
GBC498318	1881	1
GBC498319	22	22
GBC498341	1	1
GBC498343	1	1
GBC498427	1881	1
GBC498456	3	2
GBC498470	5	4
GBC498745	980	1
GBC499879	18	3
GBC499946	1881	1
GBC502832	187	41
GBC502835	198	41
GBC505545	2	1
GBC507552	223	14
GBC507918	2323	1
GBC507920	3	2
GBC510151	1038	1
GBC510165	8	2
